,ingredient,category,description,rating,rating_num
0,2-hexanediol,preservatives,A preservative belonging to a class of agents known as higher molecular glycols.,Good,3.0
1,10-hydroxydecanoic acid,emollients,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.,Good,3.0
2,4-t-butylcyclohexanol,"emollients, skin-soothing",,Good,3.0
3,acacia farnesiana extract,"plant extracts, fragrance: synthetic and fragrant plant extracts",A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit...,Poor,-1.0
4,acacia senegal gum,"texture enhancer, plant extracts, skin-soothing","Herb that can have skin soothing properties, but is used primarily as a thickening agent.",Good,3.0
5,acai,"antioxidants, plant extracts","Pronounced ""ah-sigh-ee"", this small berry with a deep purple color is a source of...",Best,5.0
6,acetic acid,sensitizing,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin...",Poor,-1.0
7,acetone,sensitizing,Strong solvent that is used in Nail Polish removers.,Poor,-1.0
8,acetylated castor oil,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
9,acetylated hydrogenated cottonseed glyceride,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
10,acetylated lanolin,emollients,Emollient derived from lanolin.,Good,3.0
11,acetylated lanolin alcohol,emollients,An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed...,Good,3.0
12,acetylated palm kernel glycerides,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
13,acetyl carnitine hcl,antioxidants,,Best,5.0
14,acetyl glucosamine,"skin-replenishing, antioxidants, skin-soothing, hydration",Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid.,Best,5.0
15,acetyl glyceryl ricinoleate,"texture enhancer, emollients",Used as an emollient and thickening agent in cosmetics.,Good,3.0
16,acetyl hexapeptide-1,skin-restoring,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan.",Best,5.0
17,acetyl hexapeptide-37,skin-restoring,"Acetyl hexapeptide-37 is a synthetic peptide composed of the amino acids alanine, proline, serine and glycine.",Best,5.0
18,acetyl hexapeptide-8,skin-restoring,"Acetyl hexapeptide-8 is a synthetically-derived peptide that, like all peptides, has water-binding properties and skin-restoring ability.",Good,3.0
19,acetyl octapeptide-3,skin-restoring,"A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine...",Good,3.0
20,acetyl tetrapeptide-11,skin-restoring,Acetyl tetrapeptide-11 is a synthetic peptide that helps skin look and feel healthier.,Best,5.0
21,acetyl tetrapeptide-5,skin-restoring,"Acetyl tetrapeptide-5 is a synthetic peptide that has calming, smoothing, hydrating, and firmness-enhancing benefits when applied to skin.",Best,5.0
22,acetyl tetrapeptide-9,skin-restoring,Acetyl tetrapeptide-9 is a synthetic peptide that helps visibly restore skin's natural support.,Best,5.0
23,acetyl tributyl citrate,film-forming/holding agents,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening...",Average,1.0
24,acetyl tyrosine,hydration,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it...,Good,3.0
25,achillea millefolium,"skin-soothing, plant extracts",,Poor,-1.0
26,acid,miscellaneous,Anything with a pH lower than 7 is considered acidic—above 7 is considered alkaline. Water has a pH...,Average,1.0
27,acne soap,cleansing agents,"Soaps that often contain strong cleansing ingredients, they are often overly drying and...",Poor,-1.0
28,acrylate,texture enhancer,,Good,3.0
29,acrylates/c10-30 alkyl acrylate crosspolymer,texture enhancer,A synthetic ingredient used to enhance the texture of skincare and haircare products.,Good,3.0
30,acrylates/dimethicone copolymer,"silicones, texture enhancer",A silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better...,Good,3.0
31,acrylates/steareth-20 methacrylate copolymer,texture enhancer,A synthetic polymer that blends stearth-20 with one or more forms of methacrylic acid. Functions as...,Good,3.0
32,acrylates copolymer,texture enhancer,,Good,3.0
33,actaea racemosa,plant extracts,,Average,1.0
34,actinidia chinensis (kiwi fruit) extract,"antioxidants, plant extracts","Actinidia chinensis (kiwi fruit) extract is an excellent source of antioxidants, including vitamin C.",Best,5.0
35,adenosine,"skin-soothing, skin-restoring",Yeast-derived ingredient that functions as a good soothing and skin-restoring agent.,Best,5.0
36,adenosine phosphate,"skin-restoring, skin-soothing","Also known as AMP, adenosine phosphate is a skin-soothing and restoring ingredient that's similar to adenosine triphosphate.",Best,5.0
37,adenosine triphosphate,"skin-soothing, skin-restoring","An organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids. All...",Best,5.0
