,url,category,brand,name,rating,price,descriptions,productsize,ingredients_cleaned
0,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387,cleanser,Youth To The People,Superfood Antioxidant Cleanser,4.3,$36.00,"What it is: An award-winning face wash with cold-pressed antioxidants to remove makeup, prevent buildup in pores, and support skin’s pH balance.
Skin Type: Normal, Dry, Combination, and Oily
Skincare Concerns: Pores, Dullness, and Blemishes
Formulation: Rich Gel
Highlighted Ingredients:
- Kale: Rich in skin-loving phytonutrients and vitamins C, E, and K to support skin and leave it visibly glowing.
- Spinach: A lightweight skin soother with cooling properties and rich with conditioning essential fatty acids.
- Green Tea: An antioxidant-rich powerhouse that fights visible signs of aging.
Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.
What Else You Need to Know: This daily green juice face cleanser is formulated with a proprietary superfood-extract blend of kale, spinach, and green tea. Effective for both single and double cleansing, this antioxidant-rich formula is sulfate- and alcohol-free to cleanse skin without drying for optimal pH balance.
Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",8 oz,"Water, Cocamidopropyl Hydroxysultaine, Sodium Cocoyl Glutamate, Aloe Barbadensis Leaf (Aloe Vera) Juice, Sorbeth-230 Tetraoleate, Polysorbate 20, Brassica Oleracea Acephala (Kale) Extract, Spinacia Oleracea (Spinach) Leaf Extract, Camellia Sinensis (Green Tea) Leaf Extract, Medicago Sativa (Alfalfa) Extract, Chamomilla Recutita (Matricaria) Flower Extract, Tetrahexyldecyl Ascorbate (Vitamin C), Glycerin, Panthenol (Vitamin B5), Tocopheryl Acetate (Vitamin E), Decyl Glucoside, Sorbitan Laurate, Tetrasodium Glutamate Diacetate, Gluconolactone, Calcium Gluconate, Ethylhexylglycerin, Maltodextrin, Citric Acid, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Chlorophyllin-Copper Complex (CI 75810), Gardenia Jasminoides (Jasmine) Fruit Extract, Fragrance."
1,https://www.sephora.com/product/soy-face-cleanser-P7880?icid2=products%20grid:p7880,cleanser,Fresh,Soy Makeup Removing Face Wash,4.4,$38.00,"What it is: A bestselling three-in-one face wash that gently melts away makeup and mascara (without the sting!), removes impurities, and tones for clean, balanced skin.
Skin Type: Normal, Dry, Combination, and Oily
Skincare Concerns: Dryness, Dullness and Uneven Texture, and Loss of Firmness and Elasticity
Formulation: Lightweight Gel
Highlighted Ingredients:
- Amino Acid-rich Soy Proteins: Help maintain skin elasticity and suppleness.
- Cucumber Extract: Aids in soothing the skin.
- Rosewater: Notable for its calming and balancing properties.
What Else You Need to Know: This pH-balanced, gently powerful gel cleanser has a cult following for the way it removes makeup—even mascara—without stripping for soft, supple skin. It's made with amino acid-rich soy proteins, calming cucumber extract, and balancing rosewater. Sensitive skin? It also soothes and tones.
Clinical Results: In-vivo test:
- 100% reported it thoroughly removed makeup
- 97% felt their skin was suppler
- 93% said it perfectly soothed and softened the skin
- 90% noticed their skin was balanced and healthy-looking
Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",5.1 oz,"Water, Coco-Glucoside, Glycerin, Butylene Glycol, PEG-7 Glyceryl Cocoate, Xanthan Gum, Glycine Soja (Soybean) Oil, Helianthus Annuus (Sunflower) Seed Oil, Borago Officinalis Seed Oil, Aloe Barbadensis Leaf Juice, Cucumis Sativus (Cucumber) Fruit Extract, Rosa Damascena Extract, Rosa Damascena Flower Water, Centaurea Cyanus Flower Extract, Glycine Soja (Soybean) Sterols, Panax Ginseng Root Extract, Rosa Damascena Flower Oil, Malva Sylvestris (Mallow) Flower Extract, Tocopherol, Ascorbyl Palmitate, PEG-120 Methyl Glucose Dioleate, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Polysorbate 20, Caprylic/Capric Triglyceride, Silica, Benzoic Acid, Disodium EDTA, Citric Acid, Behenyl Alcohol, Glyceryl Stearate, Lecithin, Pentylene Glycol, Hydrolyzed Soy Protein, Caramel, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol."
2,https://www.sephora.com/product/green-clean-makeup-meltaway-cleansing-balm-P417238?icid2=products%20grid:p417238,cleanser,Farmacy,Green Clean Makeup Removing Cleansing Balm,4.5,$34.00,"What it is: A makeup remover and face cleanser that virtually melts away all makeup, leaving skin hydrated and silky smooth.
Skin Type: Normal, Dry, Combination, and Oily
Skincare Concerns: Dryness, Dullness, and Uneven Texture
Formulation: Cream
Highlighted Ingredients:
- Sunflower and Ginger Root Oils: Melt even stubborn makeup (including long-wear) without stripping or drying skin.
- Turmeric and Moringa Extract: Help remove impurities, sunscreen residue, and fight the effects of pollution.
- Papaya Enzymes: Naturally exfoliate pores.
Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.
What Else You Need to Know: This holy grail cleansing balm instantly melts makeup, removes impurities, and gently exfoliates. It transforms from a sorbet-like balm to silky oil to milky lather to remove makeup effortlessly with zero residue. With a blend of essential oils, this balm smells like vacation. Green Clean Makeup Meltaway Cleansing Balm does not contain polyethylene microbeads. The polyethylene is not in a solid form and melts with water as it is washed down the drain.
This product is also an Allure Best of Beauty Winner.
Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",3.4 oz,"Cetyl Ethylhexanoate, Caprylic/Capric Triglyceride, Peg-20 Glyceryl Triisostearate, Peg-10 Isostearate, Polyethylene, Echinacea Purpurea Root Extract, Carica Papaya (Papaya) Fruit Extract, Moringa Pterygosperma Seed Extract, Moringa Oleifera Seed Oil, Zingiber Officinale (Ginger) Root Oil, Helianthus Annuus (Sunflower) Seed Oil, Sorbitan Sesquioleate, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Glycerin, Melia Azadirachta Leaf Extract, Melia Azadirachta Flower Extract, Corallina Officinalis Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Amber Powder, Cananga Odorata Flower Oil, Coccinia Indica Fruit Extract, Solanum Melongena (Eggplant) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Ocimum Sanctum Leaf Extract, Water, Butylene Glycol, Disodium Phosphate, Citric Acid, Phenoxyethanol, Citral, Limonene, Linalool."
3,https://www.sephora.com/product/the-deep-cleanse-P427536?icid2=products%20grid:p427536,cleanser,Tatcha,The Deep Cleanse Gentle Exfoliating Cleanser,4.2,$38.00,"Which skin type is it good for?
✔ Normal
✔ Oily
✔ Combination
✔ Sensitive

What it is:
A daily gel cleanser with natural fruit exfoliant that thoroughly but gently lifts impurities and unclogs pores while leaving skin soft and hydrated.

Solutions for:
- Pores
- Dullness and uneven texture
- Oiliness

If you want to know more…
The Deep Cleanse oil-free gel lathers into a creamy foam to lift away dirt, oil, and impurities without over-drying. It cleanses with amino acids derived from silk gentle enough for even the most delicate skin, leaving skin soft, refreshed, and comfortably hydrated.

The formula harnesses the power of the Japanese luffa fruit, a natural beauty multitasker beloved by Japanese women for centuries. Ground fibers from the fruit exfoliate, helping to turn over dead skin cells while purifying and decongesting pores. The fruit extract also beautifies and conditions skin. Japanese wild rose works to visibly tighten pores and smooth skin texture, while Japanese leopard lily helps minimize excess oil.

What else you need to know:
Harvested under a full autumn moon, the water of luffa fruit has been prized as a favorite natural skincare ingredient in Japan since the Edo period. It is beloved for its clarifying and moisturizing properties. When dried and ground, the fruit gently exfoliates to purify and smooth skin texture—the original inspiration for the modern day loofah sponge. The Deep Cleanse harnesses this time-tested ingredient in this refreshing, easy-to-use daily exfoliating cleanser.

This pure, oil-free formula is non-irritating, non-sensitizing, dermatologist tested, and cruelty-free. It is formulated without synthetic fragrances, sulfate detergents, urea, DEA, of TEA.

This product is an Allure Best of Beauty award winner.

Beauty that gives back: every Tatcha purchase you make supports girls’ education around the world. Tatcha is proud to partner with Room to Read to transform girls’ futures.—Victoria Tsai, Founder

Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.

This product is an Allure Best of Beauty award winner.",5 oz,"Water, Sodium Cocoyl Glutamate, Propanediol, Glycerin, Acrylates Copolymer, Coco-Betaine, Saccharomyces/Camellia Sinensis Leaf/Cladosiphonokamuranus/Rice Ferment Filtrate*, Luffa Cylindrica Fruit/Leaf/Stem Extract, Luffa Cylindrica Fruit, Sodium Lauroyl Hydrolyzed Silk, Rosa Multiflora Fruit Extract, Belamcanda Chinensis Root Extract, Potassium Hydroxide, Sodium Chloride, Polyglyceryl-10 Dioleate, Polyglyceryl-2 Sesquicaprylate, Butylene Glycol, Ethylhexylglycerin, Tetrasodium Edta, Fragrance, Alcohol, Phenoxyethanol."
4,https://www.sephora.com/product/tatcha-the-rice-wash-skin-softening-cleanser-P461537?icid2=products%20grid:p461537,cleanser,Tatcha,The Rice Wash Skin-Softening Cleanser,4.6,$35.00,"What it is: A PH-neutral, daily cream cleanser that gently washes away impurities without stripping skin—leaving it hydrated, feeling soft, and looking luminous.

Skin Type: Normal, Dry, and Combination

Skincare Concerns: Dryness

Formulation: Cream

Highlighted Ingredients:
- Blend of Japanese Algae: Leaves skin feeling soft, comforted, and nourished.
- Hyaluronic Acid: Helps skin look smooth and plump with hydration.
- Tatcha‘s Signature Hadasei-3: Restores a visibly healthy-, youthful-looking radiance.

Ingredient Callouts: This product is vegan, cruelty-free, and gluten-free.

What Else You Need to Know: For centuries, Japanese women have repurposed the milky water leftover from rinsing rice for cooking to use in their beauty rituals. A rich source of vitamins A, B2, B12, and E, this byproduct softens and boosts the look of luminosity. This original cleansing ritual was the inspiration for this wash, combining Okinawa red algae and hyaluronic acid with Japanese rice powder to replenish essential moisture for clean, hydrated skin.

Every Tatcha purchase supports equality in education through their Beautiful Faces, Beautiful Futures program.

Clinical Results: Based on an expert grader survey of 25 subjects over a 4-week period:
- +39% average boost in skin hydration was measured.

Based on a self-assessment of 25 subjects over a 4-week period:
- 92% felt skin was healthy-looking and felt softer
- 96% felt skin was balanced

Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",4.0 oz,"Aqua/Water/Eau, Microcrystalline Cellulose, Propanediol, Sodium Cocoyl Glutamate, Glycerin, Acrylates Copolymer, Sodium Caproyl Methyltaurate, Coco-Betaine, Parfum/Fragrance, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Oryza Sativa (Rice) Powder, Chondrus Crispus Extract, Sodium Hyaluronate, Betaphycus Gelatinum Extract, Lauryl Glucoside, Potassium Hydroxide, Polyquaternium-39, Disodium Edta, Phenoxyethanol, Ethylhexylglycerin, Sodium Benzoate, Sodium Carbonate, Alcohol."
5,https://www.sephora.com/product/purity-made-simple-P7109?skuId=2375681&icid2=products%20grid:p7109,cleanser,philosophy,Purity Made Simple Cleanser,4.5,$25.00,"What it is: A top-selling facial cleanser—now formulated without parabens.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Pores, Dryness, and Dullness

Formulation: Gel

Highlighted Ingredients:
- Meadowfoam Seed Oil: Conditions skin for a lightly hydrated, non-stripped feel.

Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, and phthalates.

What Else You Need to Know: This award-winning facial cleanser melts away dirt, oil, and makeup. It tones and lightly hydrates in one simple step for skin that feels perfectly clean and comfortably balanced.

Clinical Results: In a 1-week self-assessment study with 101 women (ages 18 to 35):
- 91% reported their skin looked and felt refreshed after one use
- 87% reported their skin immediately looked and felt like a clean canvas",8 oz,"Aqua/Water/Eau, Sodium Lauroamphoacetate, Sodium Trideceth Sulfate, Limnanthes Alba (Meadowfoam) Seed Oil, Coco-Glucoside, Coconut Alcohol, Peg-120 Methyl Glucose Dioleate, Glycerin, Phenoxyethanol, Isopropyl Alcohol, Carbomer, Polysorbate 20, Chlorphenesin, Citric Acid, Disodium Phosphate, Aniba Rosaeodora (Rosewood) Wood Oil, Linalool, Ethylhexylglycerin, Xanthan Gum, Sodium Citrate, Bulnesia Sarmientoi Wood Oil, Pelargonium Graveolens Flower Oil, Sodium Hydroxide, Amyris Balsamifera Bark Oil, Cymbopogon Martini Oil, Rosa Damascena Flower Oil, Tocopherol, Daucus Carota Sativa (Carrot) Seed Oil, Mimosa Tenuiflora Bark Extract, Ormenis Multicaulis Oil, Piper Nigrum (Pepper) Fruit Extract, Salvia Sclarea (Clary) Oil, Santalum Album (Sandalwood) Oil, Fd&C Yellow No. 5 (Ci 19140)."
6,https://www.sephora.com/product/daily-microfoliant-P423688?icid2=products%20grid:p423688,cleanser,Dermalogica,Daily Microfoliant Exfoliator,4.6,$59.00,"What it is: A gentle, rice-based powder exfoliant that visibly brightens, improves the look of skin‘s texture, and clears pores.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Fine Lines and Wrinkles, Pores, and Uneven Texture

Formulation: Lightweight Powder

Highlighted Ingredients:
- Licorice, Grapefruit, and Phytic Acid from Rice Bran: Visibly even skin tone, leaving your skin looking glowing and smooth.
- Papain Enzymes and Salicylic Acid: Draw out excess oil and improve the look of skin‘s texture and pores.
- Colloidal Oatmeal: Hydrates and helps reduce the appearance of redness.

Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan, cruelty-free, and gluten-free, comes in recyclable packaging.

What Else You Need to Know: This gentle powder exfoliates, leaving the skin looking smoother and brighter. The formula activates upon contact with water, foaming into a creamy paste and releasing papain, salicylic acid, and rice actives. It reduces the appearance of wrinkles, uneven skin tone, and hyper-pigmentation while a soothing blend of green tea and colloidal oatmeal calms the look of redness.",2.6 oz,"Microcrystalline Cellulose, Magnesium Oxide, Sodium Cocoyl Isethionate, Sodium Lauroyl Glutamate, Colloidal Oatmeal, Disodium Lauryl Sulfosuccinate, Oryza Sativa (Rice) Bran, Oryza Sativa (Rice) Starch, Allantoin, Papain, Salicylic Acid, Ginkgo Biloba Leaf Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, PCA, Hydrolyzed Wheat Protein, Populus Tremuloides Bark Extract, Cyclodextrin, Lauryl Methacrylate/Glycol Dimethacrylate Crosspolymer, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Limonene, Citrus Paradisi (Grapefruit) Peel Oil, Citric Acid, Titanium Dioxide (CI 77891) , Hexylene Glycol."
7,https://www.sephora.com/product/beste-no-9-jelly-cleanser-P426836?icid2=products%20grid:p426836,cleanser,Drunk Elephant,Beste™ No. 9 Jelly Cleanser,4.0,$32.00,"What it is: A gentle cleanser to remove makeup, excess oil, pollution, and grime that rinses away without residue, leaving skin clean and soft.

Skin Type: Normal, Dry, Combination, and Oily

Skincare Concerns: Redness

Formulation: Lightweight Gel

Highlighted Ingredients:
- Mild Surfactant Blend: A stack of mild cleansing agents, including coconut-based surfactants rich in fatty acids that work together to create a gentle lather that effectively dissolves even stubborn makeup, sunscreen, and oils while supporting a healthy-looking skin barrier.
- Glycerin: A skin-identical humectant that replenishes hydration levels normally lost during the cleansing process.
- Cantaloupe Fruit Extract: Rich in antioxidants, this extract soothes and hydrates.

Ingredient Callouts: This product is vegan and cruelty-free.

What Else You Need to Know: With a unique blend of mild surfactants and makeup-dissolving emollients, this gentle cleanser is formulated at an ideal, non-stripping pH level of 5.5. Free of SLS, fragrance, essential oils, and silicones, Beste™ No. 9 is appropriate for all skin.

Drunk Elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. The brand focuses on healthy pH levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. All of their products are designed to be mixed together—what Drunk Elephant calls making a smoothie. (This is true for all of their products except their sunscreen, Umbra, which sits on top of the skin, protecting it from UV damage.) The result is skin that is reset to its happiest, healthiest state.

Drunk Elephant is a supporter of IEF (International Elephant Foundation) and is cruelty-free.

Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",5 oz,"Water, Glycerin, Cocamidopropyl Betaine, Coco-Glucoside, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Hydroxysultaine, Sodium Methyl Oleoyl Taurate, Propanediol, Aloe Barbadensis Leaf Extract, Glycolipids, Linoleic Acid, Linolenic Acid, Lauryl Glucoside, Cucumis Melo Cantalupensis Fruit Extract, Sclerocarya Birrea Seed Oil, Dipotassium Glycyrrhizate, Tocopherol, Citric Acid, Phenoxyethanol, Sodium Hydroxide, Sodium Benzoate, Sodium Chloride, Polylysine."
8,https://www.sephora.com/product/salicylic-acid-cleanser-P443833?icid2=products%20grid:p443833,cleanser,The INKEY List,Salicylic Acid Acne + Pore Cleanser,4.5,$9.99,"What it is: A lightly-foaming cleanser that removes makeup and dirt, helping to reduce blackheads, acne, and blemishes while unclogging pores.

Skin Type: Normal, Combination, and Oily

Skincare Concerns: Oiliness, Pores, and Acne and Blemishes

Formulation: Liquid

Highlighted Ingredients:
- Salicylic Acid 2%: Helps to gently exfoliate the skin and unclogs the pores by dislodging dead skin cells.
- Zinc Compound: Helps reduce excess sebum and has anti-inflammatory properties.
- Allantoin 0.5%: Helps soothe irritation and stimulates growth of healthy skin tissue.

Ingredient Callouts: This product is also cruelty-free.

What Else You Need to Know: Not only working to effectively cleanse the skin, this two percent Salicylic Acid Cleanser has an added zinc compound. The two work together to help with oil-control, reduce blackheads and breakouts, and promote a more even-looking complexion.

Clean at Sephora
Clean at Sephora is formulated without a list of over 50 ingredients, including sulfates (SLS and SLES), parabens, phthalates, and more. For the full list, check out the Ingredients tab.",5 oz,"Water, Glycerin, Sodium Methyl Cocoyl Taurate, Cocamidopropyl Betaine, Cocamidopropyl Dimethylamine, PEG-120 Methyl Glucose Dioleate, Salicylic Acid, Betaine, Zinc PCA, Phenoxyethanol, Sodium Chloride, Allantoin, Coco-Glucoside, Glyceryl Oleate, Benzyl Alcohol, Coconut Acid, Ethylhexylglycerin, Sodium Benzoate, Citric Acid, Dehydroacetic Acid, Trisodium Ethylenediamine Disuccinate, Tocopherol, Hydrogenated Palm Glycerides Citrate."
9,https://www.sephora.com/product/the-microdelivery-exfoliating-wash-P184109?icid2=products%20grid:p184109,cleanser,philosophy,The Microdelivery Exfoliating Facial Wash,4.6,$13.00,"Which skin type is it good for?
✔ Normal
✔ Oily
✔ Combination
✔ Dry
✔ Sensitive

What it is:
A micro-exfoliating, daily facial wash.

Solutions for:
- Fine lines and wrinkles
- Dullness and uneven texture

If you want to know more…
This daily facial cleanser is formulated with micro-exfoliating beads to gently polish and scrub away impurities. It’s an award-winning microdelivery 30-second cleansing mini peel that reveals a smoother, brighter, more even complexion as it cleanses and lightly tones. It’s ideal for all skin types, including aging and sensitive skin.

What it is formulated WITHOUT:
- Parabens
- Sulfates
- Phthalates",2 oz,"Water, Solum Diatomeae/Diatomaceous Earth/Terre De Diatomees, Sodium Cocoyl Apple Amino Acids, Glycerin, Acrylates/Steareth-20 Methacrylate Copolymer, Acrylates Copolymer, Decyl Glucoside, Disodium Cocoamphodiacetate, Phenoxyethanol, Lauryl Glucoside, Lithium Magnesium Sodium Silicate, Polysorbate 20, Hexylene Glycol, Sodium Hydroxide, Citrus Aurantium Dulcis (Orange) Peel Extract, Limonene, Decylene Glycol, Ethylhexylglycerin, Panthenol, Tetrasodium Edta, 1,2-Hexanediol, Ascorbyl Glucoside, Borago Officinalis Seed Oil, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Tocotrienols, Triolein, Trilinolein, Magnesium Nitrate, Methylisothiazolinone, Methylchloroisothiazolinone, Magnesium Chloride."
