,full_name,url,category,brand,name,customer_rating,price,descriptions,productsize,ingredient_list,num_ingredients,price_oz,dry,oily,combination,sensitive,redness,acne,aging,spots,dull,normal,ingredients_rating,percent_known_ingredients,grade
0,Youth To The People Superfood Antioxidant Cleanser,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387,cleanser,Youth To The People,Superfood Antioxidant Cleanser,4.3,36.0,"what it is: an award-winning face wash with cold-pressed antioxidants to remove makeup, prevent buildup in pores, and support skin’s ph balance.
skin type: normal, dry, combination, and oily
skincare concerns: pores, dullness, and blemishes
formulation: rich gel
highlighted ingredients:
- kale: rich in skin-loving phytonutrients and vitamins c, e, and k to support skin and leave it visibly glowing.
- spinach: a lightweight skin soother with cooling properties and rich with conditioning essential fatty acids.
- green tea: an antioxidant-rich powerhouse that fights visible signs of aging.
ingredient callouts: this product is vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.
what else you need to know: this daily green juice face cleanser is formulated with a proprietary superfood-extract blend of kale, spinach, and green tea. effective for both single and double cleansing, this antioxidant-rich formula is sulfate- and alcohol-free to cleanse skin without drying for optimal ph balance.
clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",8 oz,"['water', 'cocamidopropyl hydroxysultaine', 'sodium cocoyl glutamate', 'aloe barbadensis leaf (aloe vera) juice', 'sorbeth-230 tetraoleate', 'polysorbate 20', 'brassica oleracea acephala (kale) extract', 'spinacia oleracea (spinach) leaf extract', 'camellia sinensis (green tea) leaf extract', 'medicago sativa (alfalfa) extract', 'chamomilla recutita (matricaria) flower extract', 'tetrahexyldecyl ascorbate (vitamin c)', 'glycerin', 'panthenol (vitamin b5)', 'tocopheryl acetate (vitamin e)', 'decyl glucoside', 'sorbitan laurate', 'tetrasodium glutamate diacetate', 'gluconolactone', 'calcium gluconate', 'ethylhexylglycerin', 'maltodextrin', 'citric acid', 'phenoxyethanol', 'potassium sorbate', 'sodium benzoate', 'chlorophyllin-copper complex (ci 75810)', 'gardenia jasminoides (jasmine) fruit extract', 'fragrance']",29,4.5,True,True,True,False,False,False,True,False,True,True,84.0,0.86,B
1,Fresh Soy Makeup Removing Face Wash,https://www.sephora.com/product/soy-face-cleanser-P7880?icid2=products%20grid:p7880,cleanser,Fresh,Soy Makeup Removing Face Wash,4.4,38.0,"what it is: a bestselling three-in-one face wash that gently melts away makeup and mascara (without the sting!), removes impurities, and tones for clean, balanced skin.
skin type: normal, dry, combination, and oily
skincare concerns: dryness, dullness and uneven texture, and loss of firmness and elasticity
formulation: lightweight gel
highlighted ingredients:
- amino acid-rich soy proteins: help maintain skin elasticity and suppleness.
- cucumber extract: aids in soothing the skin.
- rosewater: notable for its calming and balancing properties.
what else you need to know: this ph-balanced, gently powerful gel cleanser has a cult following for the way it removes makeup—even mascara—without stripping for soft, supple skin. it's made with amino acid-rich soy proteins, calming cucumber extract, and balancing rosewater. sensitive skin? it also soothes and tones.
clinical results: in-vivo test:
- 100% reported it thoroughly removed makeup
- 97% felt their skin was suppler
- 93% said it perfectly soothed and softened the skin
- 90% noticed their skin was balanced and healthy-looking
clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5.1 oz,"['water', 'coco-glucoside', 'glycerin', 'butylene glycol', 'peg-7 glyceryl cocoate', 'xanthan gum', 'glycine soja (soybean) oil', 'helianthus annuus (sunflower) seed oil', 'borago officinalis seed oil', 'aloe barbadensis leaf juice', 'cucumis sativus (cucumber) fruit extract', 'rosa damascena extract', 'rosa damascena flower water', 'centaurea cyanus flower extract', 'glycine soja (soybean) sterols', 'panax ginseng root extract', 'rosa damascena flower oil', 'malva sylvestris (mallow) flower extract', 'tocopherol', 'ascorbyl palmitate', 'peg-120 methyl glucose dioleate', 'peg-40 hydrogenated castor oil', 'caprylyl glycol', 'polysorbate 20', 'caprylic/capric triglyceride', 'silica', 'benzoic acid', 'disodium edta', 'citric acid', 'behenyl alcohol', 'glyceryl stearate', 'lecithin', 'pentylene glycol', 'hydrolyzed soy protein', 'caramel', 'sodium benzoate', 'potassium sorbate', 'phenoxyethanol']",38,7.45,True,True,True,True,False,False,False,False,True,True,84.0,0.95,B
2,Farmacy Green Clean Makeup Removing Cleansing Balm,https://www.sephora.com/product/green-clean-makeup-meltaway-cleansing-balm-P417238?icid2=products%20grid:p417238,cleanser,Farmacy,Green Clean Makeup Removing Cleansing Balm,4.5,34.0,"what it is: a makeup remover and face cleanser that virtually melts away all makeup, leaving skin hydrated and silky smooth.
skin type: normal, dry, combination, and oily
skincare concerns: dryness, dullness, and uneven texture
formulation: cream
highlighted ingredients:
- sunflower and ginger root oils: melt even stubborn makeup (including long-wear) without stripping or drying skin.
- turmeric and moringa extract: help remove impurities, sunscreen residue, and fight the effects of pollution.
- papaya enzymes: naturally exfoliate pores.
ingredient callouts: this product is vegan, cruelty-free, and gluten-free, and comes in recyclable packaging.
what else you need to know: this holy grail cleansing balm instantly melts makeup, removes impurities, and gently exfoliates. it transforms from a sorbet-like balm to silky oil to milky lather to remove makeup effortlessly with zero residue. with a blend of essential oils, this balm smells like vacation. green clean makeup meltaway cleansing balm does not contain polyethylene microbeads. the polyethylene is not in a solid form and melts with water as it is washed down the drain.
this product is also an allure best of beauty winner.
clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",3.4 oz,"['cetyl ethylhexanoate', 'caprylic/capric triglyceride', 'peg-20 glyceryl triisostearate', 'peg-10 isostearate', 'polyethylene', 'echinacea purpurea root extract', 'carica papaya (papaya) fruit extract', 'moringa pterygosperma seed extract', 'moringa oleifera seed oil', 'zingiber officinale (ginger) root oil', 'helianthus annuus (sunflower) seed oil', 'sorbitan sesquioleate', 'citrus aurantifolia (lime) oil', 'citrus aurantium bergamia (bergamot) fruit oil', 'glycerin', 'melia azadirachta leaf extract', 'melia azadirachta flower extract', 'corallina officinalis extract', 'citrus aurantium dulcis (orange) peel oil', 'amber powder', 'cananga odorata flower oil', 'coccinia indica fruit extract', 'solanum melongena (eggplant) fruit extract', 'curcuma longa (turmeric) root extract', 'ocimum sanctum leaf extract', 'water', 'butylene glycol', 'disodium phosphate', 'citric acid', 'phenoxyethanol', 'citral', 'limonene', 'linalool']",33,10.0,True,True,True,False,False,False,True,False,True,True,61.0,0.7,D
3,Tatcha The Deep Cleanse Gentle Exfoliating Cleanser,https://www.sephora.com/product/the-deep-cleanse-P427536?icid2=products%20grid:p427536,cleanser,Tatcha,The Deep Cleanse Gentle Exfoliating Cleanser,4.2,38.0,"which skin type is it good for?
✔ normal
✔ oily
✔ combination
✔ sensitive

what it is:
a daily gel cleanser with natural fruit exfoliant that thoroughly but gently lifts impurities and unclogs pores while leaving skin soft and hydrated.

solutions for:
- pores
- dullness and uneven texture
- oiliness

if you want to know more…
the deep cleanse oil-free gel lathers into a creamy foam to lift away dirt, oil, and impurities without over-drying. it cleanses with amino acids derived from silk gentle enough for even the most delicate skin, leaving skin soft, refreshed, and comfortably hydrated.

the formula harnesses the power of the japanese luffa fruit, a natural beauty multitasker beloved by japanese women for centuries. ground fibers from the fruit exfoliate, helping to turn over dead skin cells while purifying and decongesting pores. the fruit extract also beautifies and conditions skin. japanese wild rose works to visibly tighten pores and smooth skin texture, while japanese leopard lily helps minimize excess oil.

what else you need to know:
harvested under a full autumn moon, the water of luffa fruit has been prized as a favorite natural skincare ingredient in japan since the edo period. it is beloved for its clarifying and moisturizing properties. when dried and ground, the fruit gently exfoliates to purify and smooth skin texture—the original inspiration for the modern day loofah sponge. the deep cleanse harnesses this time-tested ingredient in this refreshing, easy-to-use daily exfoliating cleanser.

this pure, oil-free formula is non-irritating, non-sensitizing, dermatologist tested, and cruelty-free. it is formulated without synthetic fragrances, sulfate detergents, urea, dea, of tea.

this product is an allure best of beauty award winner.

beauty that gives back: every tatcha purchase you make supports girls’ education around the world. tatcha is proud to partner with room to read to transform girls’ futures.—victoria tsai, founder

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.

this product is an allure best of beauty award winner.",5 oz,"['water', 'sodium cocoyl glutamate', 'propanediol', 'glycerin', 'acrylates copolymer', 'coco-betaine', 'saccharomyces/camellia sinensis leaf/cladosiphonokamuranus/rice ferment filtrate', 'luffa cylindrica fruit/leaf/stem extract', 'luffa cylindrica fruit', 'sodium lauroyl hydrolyzed silk', 'rosa multiflora fruit extract', 'belamcanda chinensis root extract', 'potassium hydroxide', 'sodium chloride', 'polyglyceryl-10 dioleate', 'polyglyceryl-2 sesquicaprylate', 'butylene glycol', 'ethylhexylglycerin', 'tetrasodium edta', 'fragrance', 'alcohol', 'phenoxyethanol']",22,7.6,True,True,True,True,False,False,False,False,True,True,75.0,0.77,C
4,Tatcha The Rice Wash Skin-Softening Cleanser,https://www.sephora.com/product/tatcha-the-rice-wash-skin-softening-cleanser-P461537?icid2=products%20grid:p461537,cleanser,Tatcha,The Rice Wash Skin-Softening Cleanser,4.6,35.0,"what it is: a ph-neutral, daily cream cleanser that gently washes away impurities without stripping skin—leaving it hydrated, feeling soft, and looking luminous.

skin type: normal, dry, and combination

skincare concerns: dryness

formulation: cream

highlighted ingredients:
- blend of japanese algae: leaves skin feeling soft, comforted, and nourished.
- hyaluronic acid: helps skin look smooth and plump with hydration.
- tatcha‘s signature hadasei-3: restores a visibly healthy-, youthful-looking radiance.

ingredient callouts: this product is vegan, cruelty-free, and gluten-free.

what else you need to know: for centuries, japanese women have repurposed the milky water leftover from rinsing rice for cooking to use in their beauty rituals. a rich source of vitamins a, b2, b12, and e, this byproduct softens and boosts the look of luminosity. this original cleansing ritual was the inspiration for this wash, combining okinawa red algae and hyaluronic acid with japanese rice powder to replenish essential moisture for clean, hydrated skin.

every tatcha purchase supports equality in education through their beautiful faces, beautiful futures program.

clinical results: based on an expert grader survey of 25 subjects over a 4-week period:
- +39% average boost in skin hydration was measured.

based on a self-assessment of 25 subjects over a 4-week period:
- 92% felt skin was healthy-looking and felt softer
- 96% felt skin was balanced

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",4.0 oz,"['aqua/water/eau', 'microcrystalline cellulose', 'propanediol', 'sodium cocoyl glutamate', 'glycerin', 'acrylates copolymer', 'sodium caproyl methyltaurate', 'coco-betaine', 'parfum/fragrance', 'saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate', 'oryza sativa (rice) powder', 'chondrus crispus extract', 'sodium hyaluronate', 'betaphycus gelatinum extract', 'lauryl glucoside', 'potassium hydroxide', 'polyquaternium-39', 'disodium edta', 'phenoxyethanol', 'ethylhexylglycerin', 'sodium benzoate', 'sodium carbonate', 'alcohol']",23,8.75,True,False,True,False,False,False,False,False,False,True,72.0,0.87,C
5,philosophy Purity Made Simple Cleanser,https://www.sephora.com/product/purity-made-simple-P7109?skuId=2375681&icid2=products%20grid:p7109,cleanser,philosophy,Purity Made Simple Cleanser,4.5,25.0,"what it is: a top-selling facial cleanser—now formulated without parabens.

skin type: normal, dry, combination, and oily

skincare concerns: pores, dryness, and dullness

formulation: gel

highlighted ingredients:
- meadowfoam seed oil: conditions skin for a lightly hydrated, non-stripped feel.

ingredient callouts: free of sulfates sls and sles, parabens, formaldehydes, and phthalates.

what else you need to know: this award-winning facial cleanser melts away dirt, oil, and makeup. it tones and lightly hydrates in one simple step for skin that feels perfectly clean and comfortably balanced.

clinical results: in a 1-week self-assessment study with 101 women (ages 18 to 35):
- 91% reported their skin looked and felt refreshed after one use
- 87% reported their skin immediately looked and felt like a clean canvas",8 oz,"['aqua/water/eau', 'sodium lauroamphoacetate', 'sodium trideceth sulfate', 'limnanthes alba (meadowfoam) seed oil', 'coco-glucoside', 'coconut alcohol', 'peg-120 methyl glucose dioleate', 'glycerin', 'phenoxyethanol', 'isopropyl alcohol', 'carbomer', 'polysorbate 20', 'chlorphenesin', 'citric acid', 'disodium phosphate', 'aniba rosaeodora (rosewood) wood oil', 'linalool', 'ethylhexylglycerin', 'xanthan gum', 'sodium citrate', 'bulnesia sarmientoi wood oil', 'pelargonium graveolens flower oil', 'sodium hydroxide', 'amyris balsamifera bark oil', 'cymbopogon martini oil', 'rosa damascena flower oil', 'tocopherol', 'daucus carota sativa (carrot) seed oil', 'mimosa tenuiflora bark extract', 'ormenis multicaulis oil', 'piper nigrum (pepper) fruit extract', 'salvia sclarea (clary) oil', 'santalum album (sandalwood) oil', 'fd&c yellow no 5 (ci 19140)']",34,3.12,True,True,True,False,False,False,False,False,True,True,62.0,0.76,D
6,Dermalogica Daily Microfoliant Exfoliator,https://www.sephora.com/product/daily-microfoliant-P423688?icid2=products%20grid:p423688,cleanser,Dermalogica,Daily Microfoliant Exfoliator,4.6,59.0,"what it is: a gentle, rice-based powder exfoliant that visibly brightens, improves the look of skin‘s texture, and clears pores.

skin type: normal, dry, combination, and oily

skincare concerns: fine lines and wrinkles, pores, and uneven texture

formulation: lightweight powder

highlighted ingredients:
- licorice, grapefruit, and phytic acid from rice bran: visibly even skin tone, leaving your skin looking glowing and smooth.
- papain enzymes and salicylic acid: draw out excess oil and improve the look of skin‘s texture and pores.
- colloidal oatmeal: hydrates and helps reduce the appearance of redness.

ingredient callouts: free of sulfates sls and sles, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. this product is also vegan, cruelty-free, and gluten-free, comes in recyclable packaging.

what else you need to know: this gentle powder exfoliates, leaving the skin looking smoother and brighter. the formula activates upon contact with water, foaming into a creamy paste and releasing papain, salicylic acid, and rice actives. it reduces the appearance of wrinkles, uneven skin tone, and hyper-pigmentation while a soothing blend of green tea and colloidal oatmeal calms the look of redness.",2.6 oz,"['microcrystalline cellulose', 'magnesium oxide', 'sodium cocoyl isethionate', 'sodium lauroyl glutamate', 'colloidal oatmeal', 'disodium lauryl sulfosuccinate', 'oryza sativa (rice) bran', 'oryza sativa (rice) starch', 'allantoin', 'papain', 'salicylic acid', 'ginkgo biloba leaf extract', 'camellia sinensis leaf extract', 'glycyrrhiza glabra (licorice) root extract', 'pca', 'hydrolyzed wheat protein', 'populus tremuloides bark extract', 'cyclodextrin', 'lauryl methacrylate/glycol dimethacrylate crosspolymer', 'melaleuca alternifolia (tea tree) leaf oil', 'limonene', 'citrus paradisi (grapefruit) peel oil', 'citric acid', 'titanium dioxide (ci 77891)', 'hexylene glycol']",25,22.69,True,True,True,False,True,False,True,False,False,True,84.0,0.84,B
7,Drunk Elephant Beste™ No. 9 Jelly Cleanser,https://www.sephora.com/product/beste-no-9-jelly-cleanser-P426836?icid2=products%20grid:p426836,cleanser,Drunk Elephant,Beste™ No. 9 Jelly Cleanser,4.0,32.0,"what it is: a gentle cleanser to remove makeup, excess oil, pollution, and grime that rinses away without residue, leaving skin clean and soft.

skin type: normal, dry, combination, and oily

skincare concerns: redness

formulation: lightweight gel

highlighted ingredients:
- mild surfactant blend: a stack of mild cleansing agents, including coconut-based surfactants rich in fatty acids that work together to create a gentle lather that effectively dissolves even stubborn makeup, sunscreen, and oils while supporting a healthy-looking skin barrier.
- glycerin: a skin-identical humectant that replenishes hydration levels normally lost during the cleansing process.
- cantaloupe fruit extract: rich in antioxidants, this extract soothes and hydrates.

ingredient callouts: this product is vegan and cruelty-free.

what else you need to know: with a unique blend of mild surfactants and makeup-dissolving emollients, this gentle cleanser is formulated at an ideal, non-stripping ph level of 5.5. free of sls, fragrance, essential oils, and silicones, beste™ no. 9 is appropriate for all skin.

drunk elephant is committed to using only ingredients that either directly benefit the health of the skin or support the integrity of their formulations. the brand focuses on healthy ph levels, formulations the skin recognizes, small molecular structure that’s easily absorbed, and effective active ingredients that also support the skin’s acid mantle. all of their products are designed to be mixed together—what drunk elephant calls making a smoothie. (this is true for all of their products except their sunscreen, umbra, which sits on top of the skin, protecting it from uv damage.) the result is skin that is reset to its happiest, healthiest state.

drunk elephant is a supporter of ief (international elephant foundation) and is cruelty-free.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5 oz,"['water', 'glycerin', 'cocamidopropyl betaine', 'coco-glucoside', 'sodium lauroyl methyl isethionate', 'cocamidopropyl hydroxysultaine', 'sodium methyl oleoyl taurate', 'propanediol', 'aloe barbadensis leaf extract', 'glycolipids', 'linoleic acid', 'linolenic acid', 'lauryl glucoside', 'cucumis melo cantalupensis fruit extract', 'sclerocarya birrea seed oil', 'dipotassium glycyrrhizate', 'tocopherol', 'citric acid', 'phenoxyethanol', 'sodium hydroxide', 'sodium benzoate', 'sodium chloride', 'polylysine']",23,6.4,True,True,True,False,True,False,False,False,False,True,84.0,0.87,B
8,The INKEY List Salicylic Acid Acne + Pore Cleanser,https://www.sephora.com/product/salicylic-acid-cleanser-P443833?icid2=products%20grid:p443833,cleanser,The INKEY List,Salicylic Acid Acne + Pore Cleanser,4.5,9.99,"what it is: a lightly-foaming cleanser that removes makeup and dirt, helping to reduce blackheads, acne, and blemishes while unclogging pores.

skin type: normal, combination, and oily

skincare concerns: oiliness, pores, and acne and blemishes

formulation: liquid

highlighted ingredients:
- salicylic acid 2%: helps to gently exfoliate the skin and unclogs the pores by dislodging dead skin cells.
- zinc compound: helps reduce excess sebum and has anti-inflammatory properties.
- allantoin 0.5%: helps soothe irritation and stimulates growth of healthy skin tissue.

ingredient callouts: this product is also cruelty-free.

what else you need to know: not only working to effectively cleanse the skin, this two percent salicylic acid cleanser has an added zinc compound. the two work together to help with oil-control, reduce blackheads and breakouts, and promote a more even-looking complexion.

clean at sephora
clean at sephora is formulated without a list of over 50 ingredients, including sulfates (sls and sles), parabens, phthalates, and more. for the full list, check out the ingredients tab.",5 oz,"['water', 'glycerin', 'sodium methyl cocoyl taurate', 'cocamidopropyl betaine', 'cocamidopropyl dimethylamine', 'peg-120 methyl glucose dioleate', 'salicylic acid', 'betaine', 'zinc pca', 'phenoxyethanol', 'sodium chloride', 'allantoin', 'coco-glucoside', 'glyceryl oleate', 'benzyl alcohol', 'coconut acid', 'ethylhexylglycerin', 'sodium benzoate', 'citric acid', 'dehydroacetic acid', 'trisodium ethylenediamine disuccinate', 'tocopherol', 'hydrogenated palm glycerides citrate']",23,2.0,False,True,True,False,False,True,False,False,False,True,76.0,0.96,B
9,philosophy The Microdelivery Exfoliating Facial Wash,https://www.sephora.com/product/the-microdelivery-exfoliating-wash-P184109?icid2=products%20grid:p184109,cleanser,philosophy,The Microdelivery Exfoliating Facial Wash,4.6,13.0,"which skin type is it good for?
✔ normal
✔ oily
✔ combination
✔ dry
✔ sensitive

what it is:
a micro-exfoliating, daily facial wash.

solutions for:
- fine lines and wrinkles
- dullness and uneven texture

if you want to know more…
this daily facial cleanser is formulated with micro-exfoliating beads to gently polish and scrub away impurities. it’s an award-winning microdelivery 30-second cleansing mini peel that reveals a smoother, brighter, more even complexion as it cleanses and lightly tones. it’s ideal for all skin types, including aging and sensitive skin.

what it is formulated without:
- parabens
- sulfates
- phthalates",2 oz,"['water', 'solum diatomeae/diatomaceous earth/terre de diatomees', 'sodium cocoyl apple amino acids', 'glycerin', 'acrylates/steareth-20 methacrylate copolymer', 'acrylates copolymer', 'decyl glucoside', 'disodium cocoamphodiacetate', 'phenoxyethanol', 'lauryl glucoside', 'lithium magnesium sodium silicate', 'polysorbate 20', 'hexylene glycol', 'sodium hydroxide', 'citrus aurantium dulcis (orange) peel extract', 'limonene', 'decylene glycol', 'ethylhexylglycerin', 'panthenol', 'tetrasodium edta', '2-hexanediol', 'ascorbyl glucoside', 'borago officinalis seed oil', 'tocopherol', 'helianthus annuus (sunflower) seed oil', 'tocotrienols', 'triolein', 'trilinolein', 'magnesium nitrate', 'methylisothiazolinone', 'methylchloroisothiazolinone', 'magnesium chloride']",32,6.5,True,True,True,True,False,False,True,False,True,True,69.0,0.94,C
